,t980,t1088,t1233,t1235,t1297,t1768,t1952,t2023,t3170,t3171,t3172,t3173,t3174,t3175,t3176,t3177,t3178,t3179,t3495,t3790,t3791,t3792,t3793,t3794,t3795,t3796,t3797,t3798,t3799,t3828,t3829,t4638,t5015,t5201,t5202,t5203,t5204,t5205,t5207,t5234,t5248,t5290,t5291,t5292,t5293,t5294,t5295,t5296,t5297,t5298,t5299,t5430,t5431,t5432,t5433,t5434,t5435,t5436,t5437,t5438,t5439,t6000,t6186,t6521,t6522,t6523,t6524,t6525,t6526,t6527,t6528,t6529,t7072,t7075,t7443,t7445,t8001,t8337,t8368,t8369,t8470,t8474,t8475,t8476,t8477,t8660,t8661,t8662,t8664,t8665,t9514,t9516,t9530,t9531,t9532,t9533,t9534,t9535,t9536,t9537
0,2,3,9,9,2,3,15,10,10,0,9,3,8,11,2,0,0,10,15,0,1,11,1,13,3,3,11,13,11,3,11,3,3,3,8,3,10,7,3,1,3,7,3,9,1,0,2,2,0,8,3,3,1,12,3,1,13,3,3,3,11,11,7,1,11,1,11,8,1,8,3,2,11,0,2,0,11,2,10,7,3,9,2,7,5,2,14,15,0,7,0,10,0,3,11,4,11,1,1,4
1,3,0,8,13,5,3,1,3,10,7,5,1,5,6,1,0,2,12,1,5,1,7,5,9,4,2,11,5,14,5,2,4,0,6,1,5,0,7,4,1,3,1,10,6,11,13,6,13,9,1,3,7,5,1,11,7,3,4,3,7,3,7,4,9,11,7,7,15,1,3,4,11,8,5,11,5,1,13,1,7,1,2,5,2,9,0,3,6,6,0,15,3,8,5,3,0,4,11,1,3
2,0,1,15,0,8,10,9,0,8,13,0,8,14,11,8,6,13,8,8,11,10,8,10,10,14,2,4,8,9,12,8,8,1,13,5,2,0,3,10,4,10,13,8,0,8,10,8,12,5,0,9,8,11,8,2,0,14,8,12,8,10,8,9,0,8,10,11,10,10,0,8,3,3,0,10,11,5,2,8,14,9,14,12,14,10,0,9,9,10,0,8,0,10,10,10,10,11,8,9,10
3,7,11,14,11,10,15,10,7,14,3,11,8,15,15,10,11,10,11,10,9,5,9,10,11,9,13,7,11,7,10,11,10,11,11,7,14,6,2,12,12,15,2,15,15,7,15,7,14,11,0,11,9,15,15,11,10,15,7,15,4,13,15,15,15,14,7,15,10,9,3,0,15,9,10,3,3,10,7,10,2,15,6,10,8,10,2,2,11,3,1,7,15,11,7,15,10,13,15,14,6
4,10,15,4,7,11,11,2,10,14,7,6,1,14,14,14,8,13,13,2,3,6,9,7,7,2,6,2,7,14,13,7,11,15,6,3,12,9,14,5,13,11,15,8,13,15,15,2,5,7,5,12,15,12,15,15,7,13,13,6,6,12,11,2,10,8,12,2,11,2,8,15,4,13,14,7,1,8,11,14,15,1,3,1,15,15,4,10,15,9,15,15,1,11,13,4,12,4,7,15,12
5,7,12,2,2,15,5,2,7,14,3,14,0,5,4,6,10,5,15,2,14,6,15,13,4,12,3,10,8,4,15,2,15,12,5,15,13,2,13,6,4,5,6,14,7,6,6,7,7,15,6,7,11,6,7,14,2,7,14,10,6,11,7,4,8,1,6,7,5,12,7,13,7,1,5,7,14,14,7,2,15,7,14,7,7,6,11,14,10,14,6,7,14,14,6,13,15,15,0,6,14
6,13,13,15,11,10,15,9,13,13,9,10,11,0,14,9,15,8,10,9,12,15,6,6,15,9,14,13,13,15,9,13,10,13,8,12,11,14,9,15,2,15,12,9,15,13,12,9,12,15,14,9,8,13,12,4,13,13,1,14,8,13,10,8,14,3,13,12,0,11,8,13,2,10,8,10,11,9,12,9,13,0,14,13,9,0,9,13,8,0,12,14,8,4,4,12,11,9,10,4,9
7,4,0,11,7,3,2,13,4,6,10,1,0,11,8,9,0,0,4,13,6,4,7,6,10,1,6,4,4,4,6,3,3,1,7,6,4,0,6,5,7,0,12,8,6,8,15,12,14,5,4,4,3,4,0,0,12,4,13,8,5,1,8,4,2,7,12,4,7,1,5,6,3,5,12,6,8,9,1,13,7,1,4,2,5,3,6,14,6,12,2,7,2,14,6,0,6,1,0,0,2
8,10,9,5,2,0,3,13,10,0,3,11,10,12,3,1,10,8,14,13,3,3,8,9,11,14,13,1,5,7,3,11,1,9,8,7,11,2,14,2,11,3,7,5,9,7,11,1,3,5,14,9,1,0,0,6,5,1,6,3,1,11,4,12,9,7,6,11,5,5,2,0,3,9,0,0,2,7,10,7,0,0,6,1,0,10,7,3,2,3,9,4,1,15,7,5,5,0,3,9,0
9,3,9,2,3,11,3,2,1,3,15,6,2,1,12,9,1,1,4,2,12,11,11,6,9,0,8,13,12,12,12,7,11,9,7,12,0,1,4,11,8,3,0,2,4,2,11,12,8,9,11,0,0,3,0,8,14,9,4,2,0,9,7,1,14,8,13,15,12,5,1,1,9,9,0,1,1,5,11,1,7,0,1,1,12,11,3,1,3,3,4,8,1,13,11,4,1,8,6,14,6
